🕘️更新时间,#genre#
2026-01-24 06:35:46,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009

📺央视频道,#genre#
CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1
CCTV-1,http://23.237.228.134/live5/CCTV1.m3u8
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-1,http://39.152.103.17:8089/tsfile/live/1000_1.m3u8
CCTV-1,http://60.13.52.236:65500/newlive/live/hls/1/live.m3u8
CCTV-1,http://heilin.fun:8686/rtp/239.49.8.19:9614
CCTV-1,http://182.126.115.129:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV-1,http://222.135.142.75:3283/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2
CCTV-2,http://23.237.228.134/live5/CCTV2.m3u8
CCTV-2,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-2,http://39.152.103.17:8089/tsfile/live/1001_1.m3u8
CCTV-2,http://pull-hls-f1.douyincdn.com/media/stream-695106910011261612/playlist.m3u8?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-202601211138448FA9B998510F771A8747-9PrRHC&wsSecret=de5da072805f2c6d3fe8427464714c6f&wsTime=69704a44
CCTV-2,http://60.13.52.236:65500/newlive/live/hls/2/live.m3u8
CCTV-2,http://heilin.fun:8686/rtp/239.49.8.50:9802
CCTV-2,http://182.126.115.129:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://drive.mxmy.net:8888/udp/239.3.1.60:8084
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV-3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV-3,http://60.13.52.236:65500/newlive/live/hls/3/live.m3u8
CCTV-3,http://182.126.115.129:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://drive.mxmy.net:8888/udp/239.3.1.172:8001
